x,actual_y,fitted_y,residual,absolute_error,squared_error
0.0,0.0,1.4489889264469542,-1.4489889264469542,1.4489889264469542,2.099568908965897
0.1,0.1626844064604589,1.3471856329713197,-1.1845012265108608,1.1845012265108608,1.4030431556057334
0.2,0.32252571544611197,1.2513649206765556,-0.9288392052304436,0.9288392052304436,0.8627422691731221
0.30000000000000004,0.4749298966671732,1.1614599764766087,-0.6865300798094355,0.6865300798094355,0.47132355048314983
0.4,0.6157860885106247,1.077403987285426,-0.4616178987748013,0.4616178987748013,0.2130910844692627
0.5,0.7416716934430995,0.9991301400169537,-0.2574584465738542,0.2574584465738542,0.06628485171222213
0.6000000000000001,0.850016220046049,0.9265716215851388,-0.0765554015390898,0.0765554015390898,0.005860729504811272
0.7000000000000001,0.9392141739561752,0.8596616189039282,0.07955255505224701,0.07955255505224701,0.006328609015340791
0.8,1.0086804476059434,0.7983333188872686,0.2103471287186749,0.2103471287186749,0.04424591456019078
0.9,1.0588452088494638,0.7425199084491064,0.31632530040035733,0.31632530040035733,0.1000616956733763
1.0,1.0910890208338855,0.6921545745033888,0.3989344463304967,0.3989344463304967,0.15914869246901994
1.1,1.1076226080745184,0.6471705039640622,0.46045210411045623,0.46045210411045623,0.21201614017974643
1.2000000000000002,1.111319087982193,0.6075008837450735,0.5038182042371195,0.5038182042371195,0.25383278292071587
1.3,1.105509401784666,0.5730789007603697,0.5324305010242963,0.5324305010242963,0.28348223842098325
1.4000000000000001,1.0937539230660551,0.5438377419238971,0.549916181142158,0.549916181142158,0.3024078062819747
1.5,1.0796046569184685,0.5197105941496024,0.5598940627688661,0.5598940627688661,0.313481361523827
1.6,1.0663729792145233,0.5006306443514328,0.5657423348630906,0.5657423348630906,0.3200643894563413
1.7000000000000002,1.0569174708953226,0.48653107944333485,0.5703863914519878,0.5703863914519878,0.32534063555362025
1.8,1.0534651014619212,0.4773450863392552,0.576120015122666,0.576120015122666,0.3319142718249409
1.9000000000000001,1.05747689044357,0.4730058519531406,0.5844710384904295,0.5844710384904295,0.3416063948340811
2.0,1.0695663581598969,0.47344656319893774,0.5961197949609591,0.5961197949609591,0.355358809944296
2.1,1.0894757432922257,0.4786004069905936,0.6108753363016322,0.6108753363016322,0.37316867650163216
2.2,1.1161113224269923,0.48840057024205474,0.6277107521849375,0.6277107521849375,0.39402078840858007
2.3000000000000003,1.1476354428019058,0.502780239867268,0.6448552029346377,0.6448552029346377,0.4158382327518728
2.4000000000000004,1.1816093060014194,0.52167260278018,0.6599367032212394,0.6599367032212394,0.43551645225851826
2.5,1.2151773399670673,0.5450108458947374,0.67016649407233,0.67016649407233,0.4491231297771983
2.6,1.2452813688434181,0.5727281561248875,0.6725532127185306,0.6725532127185306,0.4523278239380171
2.7,1.2688908986789842,0.6047577203845766,0.6641331782944075,0.6641331782944075,0.44107287851143134
2.8000000000000003,1.2832347998356024,0.641032725587751,0.6422020742478514,0.6422020742478514,0.4124235041682428
2.9000000000000004,1.2860195489668587,0.6814863586483584,0.6045331903185003,0.6045331903185003,0.3654603781966641
3.0,1.275620002253552,0.7260518064803447,0.5495681957732073,0.5495681957732073,0.30202520180541825
3.1,1.2512303572110848,0.7746622559976574,0.4765681012134274,0.4765681012134274,0.2271171550941716
3.2,1.2129654182282656,0.8272508941142429,0.38571452411402274,0.38571452411402274,0.14877569411250702
3.3000000000000003,1.1619053584165866,0.8837509077440472,0.2781544506725394,0.2781544506725394,0.07736989842894217
3.4000000000000004,1.1000806761290414,0.9440954838010185,0.15598519232802288,0.15598519232802288,0.024331380225610287
3.5,1.0303977607489283,1.008217809199102,0.022179951549826216,0.022179951549826216,0.0004919502507526384
3.6,0.956509178015587,1.0760510708522455,-0.1195418928366585,0.1195418928366585,0.014290264142971146
3.7,0.8826362304366153,1.1475284556743963,-0.264892225237781,0.264892225237781,0.0701678909914233
3.8000000000000003,0.8133543289418286,1.2225831505795,-0.4092288216376714,0.4092288216376714,0.16746822845895706
3.9000000000000004,0.7533540424104579,1.3011483424815036,-0.5477943000710457,0.5477943000710457,0.3000785951903268
4.0,0.7071922269697293,1.3831572182943535,-0.6759649913246242,0.6759649913246242,0.45692866949649924
4.1000000000000005,0.6790482813343905,1.468542964931997,-0.7894946835976064,0.7894946835976064,0.6233018554288847
4.2,0.6725002875934947,1.5572387693083807,-0.884738481714886,0.884738481714886,0.7827621810271617
4.3,0.6903345962703755,1.6491778183374513,-0.9588432220670757,0.9588432220670757,0.9193803245039714
4.4,0.7344003744728085,1.7442932989331568,-1.0098929244603483,1.0098929244603483,1.0198837188750747
4.5,0.8055178829570875,1.8425183980094406,-1.0370005150523531,1.0370005150523531,1.0753700682188456
